date,WT,pH,DO,CODMn,NH3-N,TP,TN,EC,Turbidity
2021/1/3 8:00,12.522857142857148,7.000000000000003,11.627785547785898,2.683142857142858,0.0847714285714286,0.08531428571428573,2.233714285714287,250.74452214452415,28.917871017871263
2021/1/3 12:00,14.351428571428578,6.970285714285716,11.049580419580753,2.951142857142858,0.07080000000000003,0.08302857142857145,2.2462857142857144,251.6522921522913,28.257109557109832
2021/1/3 16:00,16.69428571428572,6.99914285714286,10.51433566433598,2.731142857142858,0.06940000000000002,0.0835714285714286,2.2640000000000007,254.5701631701617,28.06301476301465
2021/1/3 20:00,14.554285714285719,7.046571428571431,10.482284382284698,2.206000000000001,0.0847714285714286,0.08422857142857146,2.242000000000001,256.3304584304608,28.907770007769734
2021/1/4 0:00,13.068571428571431,7.035428571428573,10.287622377622686,2.1157142857142865,0.0971714285714286,0.08471428571428574,2.1805714285714295,243.8048174048233,27.831934731935483
2021/1/4 4:00,10.785714285714288,7.000571428571431,9.981305361305662,2.241428571428572,0.10148571428571432,0.08251428571428573,2.134000000000001,227.29168609168931,29.981274281273407
2021/1/4 8:00,11.822857142857146,6.957428571428574,9.728787878788172,2.748857142857144,0.08874285714285718,0.07851428571428574,2.1248571428571434,274.4830613830417,20.00124320124699
2021/1/4 12:00,15.634285714285719,7.083428571428573,9.654895104895395,2.3354285714285723,0.046314285714285724,0.07611428571428573,2.1582857142857153,167.5724941725705,44.32540792539194
2021/1/4 16:00,16.34571428571429,7.133714285714288,9.510979020979308,2.449142857142858,0.05580000000000001,0.11034285714285717,2.149428571428572,89.35501165501043,60.505982905982634
2021/1/7 4:00,11.81428571428572,7.1225714285714306,9.899254079254378,2.3994285714285724,0.10485714285714288,0.13888571428571433,2.1060000000000008,167.52649572642187,44.560839160855565
2021/1/7 8:00,7.520000000000003,7.02914285714286,10.011258741259041,2.918000000000001,0.1541428571428572,0.13937142857142865,2.0540000000000003,276.4559440559614,20.666122766118598
2021/1/7 12:00,8.191428571428574,7.086285714285717,10.412960372960685,2.7620000000000005,0.1552571428571429,0.10854285714285718,2.056285714285715,237.61880341879646,30.953846153847042
2021/1/7 16:00,8.182857142857145,7.1137142857142885,10.653613053613375,3.199142857142858,0.16108571428571433,0.09622857142857147,2.104285714285715,255.4518259518253,28.359129759129694
2021/1/7 20:00,7.948571428571431,7.127714285714289,10.7957575757579,3.380000000000001,0.1675428571428572,0.08405714285714287,2.1488571428571435,252.33939393939704,28.801010101009986
2021/1/8 0:00,7.5428571428571445,7.105714285714288,10.650722610722932,3.5531428571428587,0.1770571428571429,0.0760857142857143,2.1805714285714295,245.5545454545471,29.01305361305364
2021/1/8 4:00,7.114285714285716,7.080000000000003,10.434149184149499,3.403714285714287,0.19414285714285723,0.07480000000000002,2.200285714285715,245.04786324786312,29.178321678321595
2021/1/8 8:00,7.297142857142859,7.069428571428574,10.409766899767215,3.362000000000001,0.2107428571428572,0.08928571428571432,2.2217142857142864,243.41188811188954,29.168919968920097
2021/1/8 12:00,8.20857142857143,7.061142857142859,10.629184149184468,3.423714285714287,0.2196571428571429,0.11520000000000004,2.1977142857142864,243.25229215229223,28.411188811189117
2021/1/8 16:00,8.96,7.088285714285716,10.987972027972358,3.7365714285714295,0.2161428571428572,0.14211428571428575,2.2251428571428575,233.30823620823838,31.76658896658791
2021/1/8 20:00,7.962857142857144,7.108285714285716,10.986317016317347,3.951142857142859,0.22960000000000005,0.1524571428571429,2.2962857142857147,278.40233100231524,17.351048951054718
2021/1/9 0:00,10.782857142857145,7.169428571428574,10.710442890443211,2.5374285714285723,0.1505428571428572,0.13634285714285718,2.340571428571429,167.71678321685744,51.08049728047429
2021/1/9 4:00,14.425714285714289,7.159428571428574,10.388671328671641,1.698571428571429,0.15531428571428577,0.14414285714285718,2.3114285714285723,86.20567210567582,74.76682206682185
